SSC ID,Station Name,Country_x,Latitude,Longitude,IOC code,PTWC code,GLOSS ID_x,UHSLC ID,PSMSL ID,SONEL GPS,SONEL TG,Details,Edit,Code,GLOSS ID_y,Country_y,Location,Connection,DCP ID,Last observation  Level,Time in GMT,Delay,TransmitInterval,View
SSC-chrs,Christmas Island,Australia,-10.43,105.67,chrs,chrs,47.0,170,1010,2929,2811,[details],[edit],chrs,47,Australia,Christmas Island,SZIO01,46290,0.34,08:53,6',3',[open]
SSC-xmas,Christmas Island,Kiribati,1.98,-157.47,xmas,xmas,146.0,11,"1371, 801",,2848,[details],[edit],chrs,47,Australia,Christmas Island,SZIO01,46290,0.34,08:53,6',3',[open]
SSC-chtt,Chittagong,Bangladesh,22.33,91.83,chtt,chtt,36.0,124,"1573, 2196, 416, 750, 975, 991",3599,2804,[details],[edit],chtt,36,Bangladesh,Chittagong,SZBW40,065079CC,7.8,08:49,10',6',[open]
SSC-cila,Cilacap,Indonesia,-7.75,109.0,"cila, cili","cila, cili",291.0,162,"1602, 2199, 272",3413,"2892, 3586",[details],[edit],cili,291,Indonesia,Cilacap,SZID49,0650FFD8,2.87,2017-07-13 07:44,70d,6',[open]
SSC-civi,Civitavecchia,Italy,42.09,11.79,CI20,,,,"106, 2091",2256,2255,[details],[edit],CI20,,Italy,Civitavecchia,web,,0.08,08:53,6',5',[open]
SSC-cmet,Caleta Meteoro,Chile,-52.97,-74.07,"cmet, cmet3",cmet,,,,,,[details],[edit],cmet,,Chile,Caleta Meteoro,SXCH40,140204F8,1.79,08:44,15',15',[open]
SSC-cmet,Caleta Meteoro,Chile,-52.97,-74.07,"cmet, cmet3",cmet,,,,,,[details],[edit],cmet3,,Chile,Caleta Meteoro,web,,1.86,08:50,9',15',[open]
SSC-cmnj,Cape May,United States,38.97,-74.96,"cmnj, cmnj2",cmnj,,746,1153,,,[details],[edit],cmnj,,USA,Cape May,web,335D53E0,0.47,08:48,11',5',[open]
SSC-cmnj,Cape May,United States,38.97,-74.96,"cmnj, cmnj2",cmnj,,746,1153,,,[details],[edit],cmnj2,,USA,Cape May,SXXX03,335D53E0,-4.8,08:47,12',5',[open]
SSC-cocb,Cocos Island,Australia,-12.12,96.89,cocb,cocb,46.0,171,"1052, 1666, 983",656,2218,[details],[edit],cocb,46,Australia,Cocos Island,SZIO01,46280,1.06,08:53,6',3',[open]
SSC-coch,Cochin,India,9.97,76.27,coch,coch,32.0,174,438,2067,2438,[details],[edit],coch,32,India,Cochin,ftp,43357,1.02,08:19,40',10',[open]
SSC-cois,Corn Island,Nicaragua,12.33,-83.07,cois,,,,,,,[details],[edit],cois,,Nicaragua,Corn Island,SXXX50,22178120,1.27,2017-07-07 12:09,76d,1h,[open]
